created_at,tweet
2015-12-28 19:25:47 UTC,$NG Where ist this &quot;wise&quot; man who said &quot;You never see $2 again&quot;
2015-12-10 19:23:16 UTC,"Bought 15k of $X @7.20... Boom! Now, trialing stop."
2015-12-03 03:00:01 UTC,@Surfnm @WSJ Ya this blows now. My pipelines getting crushed for no damn reason. Pissed off now. $WMB $KMI $SE
2015-12-03 03:15:39 UTC,"@Surfnm ha. that&#39;s looking on the bright side, long term. GDT has been on my mind (unlikely imo but..) i have no idea how to hedge it $GLD ?"
2015-12-03 18:20:08 UTC,$OIH Bullish Cross trying... An intermediate or LT bottom?
2015-12-09 04:52:04 UTC,"$KMI No reposts, just sayin&#39; new official ST name for Rich Kinder should be &#39;dickksux&#39; until ~$40 +div ~6%. So forever. Right? RIGHT?"
2015-12-23 17:48:06 UTC,So $UNG just popped another 2-3% last hour but $WMB $KMI don&#39;t budge (cause already popped today?)? Like $UNG should matter anyway. SMH.
2015-12-08 20:16:07 UTC,$AXPW Good luck to all the traders here from the good ole days!  Looks like the Dudu was finally ejected!  GLTA!
2015-12-14 04:30:42 UTC,@Swordfish14 He is just an outright liar.  Making $hit up as he goes along.
2015-12-09 19:15:31 UTC,good trading session since last night  $EURUSD $EURCAD
2015-12-11 08:53:25 UTC,"waaiting for Russian rate decision in 2 hours ,can of worms $CL_F  $EURcad"
2015-12-11 08:59:41 UTC,"few key resistance ahead, crucial next couple of hours  $EURCAD we have room to 1.52"
2015-12-08 16:47:59 UTC,$AMBA and $GPRO looking for a 1 - 2 finish.
2015-12-03 01:43:58 UTC,$RLYP $SVXY brace yourselves there is more dog and pony yellen/fomc show tomorrow at market open.  Someone sign her yearbook or something..
2015-12-03 01:52:36 UTC,$ZFGN do not bottom fish folks without extensive research and safety in portion sizing.  Do not push a thesis that isn&#39;t there.
2015-12-03 14:31:04 UTC,$PSTG nice
2015-12-03 17:27:19 UTC,$IBB see it testing 320 per chance by tomorrow or whenever this v is through
2015-12-07 15:11:47 UTC,"$IBB gained 0% in the last month, RLYP 50%.      I&#39;ll take that."
2015-12-07 20:11:00 UTC,$DWTI lets get the cathartic 35 or whatever bottom over with.  This is exciting even with no position.
2015-12-08 23:25:24 UTC,$DWTI oil double bottom here we come!
2015-12-17 16:31:58 UTC,$SVXY Santa still giving his elf speech and roadmap review.  Hold on kids until next week.  Oil going cathartic.
2015-12-18 15:52:29 UTC,$SPY $RLYP $SVXY might see a spring board after the quad witchies get their puts just in time.
2015-12-18 21:50:39 UTC,$XIV $SVXY $TVIX @TwerkMaster  dooms day :breathes: dooms day :insert 10 year SPX chart: dooms day :insert bear santa photo: doo.. ;DD
2015-12-21 21:34:38 UTC,$UVXY $SPY $RLYP $SVXY   Don&#39;t mess with Sir Kringle..
2015-12-29 16:20:24 UTC,$DGAZ $UGAZ BTD sure go ahead.. worked before.. right?!
2015-12-08 01:27:14 UTC,$BFR May be a decent risk vs. reward setup here: http://stks.co/f3ZSM
2015-12-09 01:34:05 UTC,"The People who have not made money on $MNGA have the lamest posts here,Lol! Whatever!"
2015-12-10 17:35:55 UTC,"Damn Sharon, you know what&#39;s up girl. $AVXL party at your house!"
2015-12-08 03:34:13 UTC,Video of Stocks to Watch on December 8th: $CALM $KMI $SODA $FORD $STRP $VLTC $GLNG $AEZS $HART $ETE $DVN http://stks.co/j3ZcZ
2015-12-10 02:46:37 UTC,"Video of Stocks to Watch on December 10th: $SPY $EYES $PIRS $TERP $OHRP $SPWR $EA 
http://stks.co/i3af7"
2015-12-11 16:15:06 UTC,$RGR strong (best gun salesman that ever lived is in the White House)
2015-12-14 20:55:51 UTC,Video of Stocks to Watch on December 15th: $STRP $CNP $NAV $RICE $SWN $BPMX $NRX $MPLX $KTOV $BYD http://stks.co/a2zea
2015-12-15 22:38:43 UTC,Video of Stocks to Watch on December 15th: $SPY $EYES $REED $STRP $MPLX $GPRO $BSI $LL $GBSN $JRJC $KTOV http://stks.co/d30C6
2015-12-17 14:12:10 UTC,Gap play list for today: $P $AVP $ATNM $OCLS $ENPH $DDD $AMSC $AEZS $MYOS $MNGA $ADXS
2015-12-18 02:46:33 UTC,Video of Stocks to Watch on December 18th: $FSNN $VLTC $HAIN $RWLK $KTOV $LL $DVN http://stks.co/g3dLz
2015-12-22 00:10:35 UTC,"Video of Stocks to Watch on December 22nd: $P $VLTC $CLR $EYES $GENE $OAS $GLNG $LL $AEZS $CAPN $NTWK  
http://stks.co/i3em6"
2015-12-23 01:21:26 UTC,"Video of Stocks to Watch on December 23rd: $RUN $NTWK $GENE $BBRY $SRNE $ESI $EYES $P $ADXS $CAPN $FSNN $SPY 
http://stks.co/b32VK"
2015-12-27 22:41:39 UTC,Video of Stocks to Watch on December 28th: $LL $DDD $PSDV $GENE $NTWK $CAPN $SPY http://stks.co/q3OEx
2015-12-01 06:18:35 UTC,$XGTI $CTRV $WTI $ATHX $ARNA $RPRX $FOMX $PIRS $CLDN $AUY $CYCC almost all of these plus $MSTX $EZRT $MNGA $IDRA lazy day sorry :)
2015-12-16 12:34:29 UTC,$LPTH http://stks.co/c30ZL
2015-12-26 13:48:21 UTC,$ATNM $AVXL $XOMA http://stks.co/j3fep
2015-12-31 16:07:00 UTC,@Stocktok @Lastsong @ICE820 @BooDog @Kcmule @Ciao $EARS
2015-12-02 17:37:58 UTC,$VXX Got in at 17.76 this morning. Glad I got out at 18.10 before Yellenspeak. Will hang w/ $XIV for a bit.
2015-12-03 15:00:07 UTC,$VXX Got in today at the open : 18.25. Got out at 18.76. Great profit. Now we wait for Janet.
2015-12-10 17:38:55 UTC,$VXX Got in at 20 this morning. Out at 2040. Done for the day.
2015-12-23 18:02:49 UTC,There is only one real question for any potential competitor to $TSLA in the BEV market: Where do they get their battery?
2015-12-30 18:20:38 UTC,"$TSLA If you call TSLA&#39;s 0.25% and 1.25% interest rate convertible notes junk bond, then I wonder if you really understand what&#39;s junk bond."
2015-12-29 21:36:03 UTC,"$AVXL what a piece of trash.  almost $15 now $6.35,  pumpers still pumping, but no worries, everyone here got in at .10 cents, as usual lol!"
2015-12-01 15:39:37 UTC,$BABA Have to watch 84.1 don&#39;t go anywhere if we don&#39;t get it. Might have to look for puts then.
2015-12-01 20:47:46 UTC,$MSFT First test 55.25
2015-12-02 14:20:51 UTC,$MSFT Looking at /ES 2102 trend line closely here.
2015-12-02 15:07:06 UTC,"$MSFT $VIX down, $GLD down. No scary monster under the bed."
2015-12-02 15:23:13 UTC,$MSFT http://stks.co/g3XXl
2015-12-03 15:51:20 UTC,"$IWM Covered, easy +.30"
2015-12-04 15:23:48 UTC,$SPY Looking at nothing but $VIX chart
2015-12-04 19:49:35 UTC,$SPY $VIX below 14.73 should be quite fun
2015-12-10 16:35:42 UTC,"$AAPL $VIX above 19.7 be careful, 2nd time is often bigger.  $SPY $QQQ $IWM"
2015-12-30 01:48:13 UTC,"$SPY, $QQQ, $IWM, $AAPL"
2015-12-08 08:53:03 UTC,"@BioTrack aren&#39;t you bullish on $ZIOP with the data they released? Attempt? Or $XON , thx :-)"
2015-12-23 00:53:31 UTC,@BiotechMoney18 sell $CELG now AH on pop or hold thru tomrw ?
2015-12-31 21:24:53 UTC,"$XON sad news, RIP Mr Horner.
http://stks.co/i3h8g"
2015-12-02 17:34:37 UTC,$CDII is it too late to buy now?
2015-12-21 17:12:25 UTC,$GE this stock golden nowadays ....long live GE!!!
2015-12-23 10:04:32 UTC,$MRK you&#39;ve got to love MRK at this price but if it breaks 50$ I will buy heavy I really need to add to my core holding I am not there yet
2015-12-26 08:11:26 UTC,$GE - in the late 90&#39;s the only way to buy GE stock was to chase it higher history will repeat itself I really do not know about this CEO
2015-12-02 16:34:26 UTC,$SSH shares are being dumped in the tens of thousands. Bodes well for retail.
2015-12-16 14:40:48 UTC,$SSH everyone on the SSH board should be in jail.
2015-12-18 16:41:17 UTC,$AMDA stand by for a 20-30 percent drop due to warrant dilution
2015-12-01 00:52:03 UTC,$QURE Price action perhaps due to data delay Dec =&gt; Jan.  3Qtr update worth a read. http://stks.co/e2vJH
2015-12-07 07:10:55 UTC,@Daniel_Ward I&#39;ve a watch list somewhere. Was thinking to dig up and post names for watching bottoms in 2016 $VKTX was double checking
2015-12-20 23:02:48 UTC,$AGEN Last outstanding news due for 2015 from GSK partnered P3 x2 - due anytime ( + / - )
2015-12-02 12:32:21 UTC,$DAX longs look a little risky atm ?
2015-12-03 12:23:30 UTC,$DAX Draghi press conf 13:30 - some shuffling of the deck chairs - &quot;whatever it takes&quot; may not be enough this time
2015-12-03 13:54:52 UTC,$DAX .
2015-12-04 12:52:19 UTC,$DAX kinda got that feeling
2015-12-11 14:56:16 UTC,$DAX was going to post this a little later - China  doesn&#39;t normally print on Sat&#39;s - and the odds of good news are
2015-12-11 15:56:42 UTC,"$DAX Hmm... retracing back to NY open - buyers, or closing shorts ?"
2015-12-16 12:44:42 UTC,$DAX while I&#39;m waiting ..
2015-12-07 09:24:21 UTC,$DAX Vitor Constancio from the ECB in declarations this morning &quot;The markets got it wrong...&quot; haha
2015-12-14 15:28:48 UTC,$DAX DJIA moved 200 points round trip in 2 mins....
2015-12-17 15:52:19 UTC,$DAX DJIA just undid the rate hike spike
2015-12-15 15:22:22 UTC,$TNXP been patiently holding a long time - now comes the fun.
2015-12-17 16:34:27 UTC,$TNXP where my volume at??
2015-12-18 15:17:26 UTC,$TNXP let&#39;s retest $7 today
2015-12-23 21:13:14 UTC,Share an idea on $XOMA ends in sleep mode
2015-12-11 13:07:28 UTC,$AVXL good mornig
2015-12-17 14:58:49 UTC,$AVXL another boring day
2015-12-02 18:12:45 UTC,$PLUG Swirly
2015-12-04 13:11:35 UTC,"$PLUG US Futures up, Asia, EU, Indexes &amp; Sectors down, Commodities mixed Oil up. Gold down VIX at 18.11 is falling http://stks.co/q3HCw"
2015-12-04 19:45:24 UTC,$PLUG When someone on the BOD said they needed to overcompensate for the losses they gave AM a raise.
2015-12-17 12:17:35 UTC,"$PLUG $TVIX US futures, Asia, EU &amp; Indexes up Sectors &amp; Commodities mixed. Oil up Gold down. VIX at 17.86 is falling http://stks.co/h3dJ5"
2015-12-20 16:11:47 UTC,$URBN Sunday morning news has Brick &amp; mortar sale up 2% &amp; Web based sales up over 4% Santa is spending generously this season ;-)
2015-12-21 12:44:00 UTC,$TQQQ US Futures &amp; EU up. Asia &amp; Commodities Mixed Oil down VIX at 22.70 is falling http://stks.co/a31r4
2015-12-21 12:44:13 UTC,$PLUG US Futures &amp; EU up. Asia &amp; Commodities Mixed Oil down VIX at 22.70 is falling http://stks.co/e323G
2015-12-22 15:06:01 UTC,$PLUG This is not a stinking video game you need to visit EA where it is level up all the time ;-)
2015-12-25 14:46:38 UTC,$PLUG Remember that chunk of coal is just a diamond that isn&#39;t finished just yet Merry Christmas every one. :-}
2015-12-29 17:42:11 UTC,$PLUG Latahm NY the perfect place for NYE party Shorts and Baggies so perfect together
2015-12-29 17:48:48 UTC,So how is $UGAZ up so much when $GASL is down? I&#39;m confused on this one.
2015-12-31 02:48:06 UTC,$PLUG Trick question \
2015-12-08 15:04:00 UTC,Noticeable Stocks News Alert: http://stks.co/p3IOq $HBAN $SIRI $AVGO
2015-12-08 15:07:30 UTC,3 Best Stocks Intraday Alert:  http://stks.co/t3Ifh $BEE $YHOO $BRCD
2015-12-08 15:08:14 UTC,3 Best Stocks Under Review: http://stks.co/t3Ifj $MCO $QCOM $ABEV
2015-12-08 15:11:37 UTC,3 Best Stocks Intraday Alert: http://stks.co/g3ZRG $DVN $P $GIS
2015-12-08 15:12:55 UTC,Up to Date Stocks to Track: http://stks.co/a2xY5 $MDLZ $OAS $HK
2015-12-08 15:13:17 UTC,Sizzling Stock Alert: http://stks.co/t3Ifx $FTR $HPQ $WEC
2015-12-08 15:14:01 UTC,Important Stocks Watch List: http://stks.co/r3ISs $WFC $UNP $BKS
2015-12-08 15:24:03 UTC,Traders Watch list: http://stks.co/r3ITK $WMB $FLEX $CS
2015-12-08 15:26:16 UTC,Pre-Market News Buzz on: http://stks.co/p3IPn $GBSN $GG $COP
2015-12-08 15:29:44 UTC,Investor’s Watch List:  http://stks.co/t3Ige $AVP $KMI $RDS.A
2015-12-08 15:30:53 UTC,Bright Stocks in Focus:  http://stks.co/d2xYa $GT $CYH $AEP
2015-12-08 15:32:12 UTC,Active Stocks in Focus: http://stks.co/d2xYb $ASNA $BBG $FSL
2015-12-08 15:39:58 UTC,Business Stocks Under Review: http://stks.co/s3I3M $TMUS $LYB $MMP
2015-12-08 15:41:18 UTC,Business Movers to Watch: http://stks.co/q3IO1 $SFY $ITW) $DTE
2015-12-08 15:43:50 UTC,Top 5 Oil Stocks Update: http://stks.co/s3I3R $PBR $SDRL $NBR $XOM
2015-12-09 15:59:09 UTC,Hot Performers of the day: http://stks.co/q3IoR $XOM $FTR $CG
2015-12-09 16:07:51 UTC,Noticeable Stocks News Analysis: http://stks.co/d2xyl $ABBV $EMR $EXC
2015-12-09 16:10:06 UTC,Three Remarkable Stocks News Review: http://stks.co/c2y5c $ASTI $CSC $JD
2015-12-09 16:18:54 UTC,Pre-Market News Alert on: http://stks.co/e2yCL $DAL $AKS $HOT
2015-12-10 15:02:35 UTC,Most Active U.S Stocks News Review: http://stks.co/r3JKQ $INTC $AET $LUV
2015-12-10 15:03:45 UTC,Three Remarkable Stocks News Review: http://stks.co/d2yKp $HLIT $BEE $KKD
2015-12-10 15:05:22 UTC,Active Stocks News Analysis: http://stks.co/c2ySU $WFT $DAL $LOW
2015-12-10 15:15:18 UTC,Three U.S Stock’s Trend Analysis Report – http://stks.co/h3acF $UN $KEY $NEM
2015-12-10 15:27:32 UTC,HOt Stocks Update: http://stks.co/c2yTe $DNR $RF $STX
2015-12-10 15:33:42 UTC,Active Stocks Watch List: http://stks.co/g3aKu $ERIC $FTI $BBY
2015-12-10 15:39:15 UTC,Hot Movers of Yesterday: http://stks.co/t3Ja0 $CVS $MYL $SU
2015-12-10 15:59:50 UTC,Fresh HOt Stocks Under Consideration: http://stks.co/c2yUo $BABA $CSX $QIHU
2015-12-10 16:00:11 UTC,Notable HOt Stocks News Review – http://stks.co/f3aZc $ATVI $FLEX $ODP
2015-12-10 16:10:09 UTC,Notable Stocks Watch List – http://stks.co/t3Jb7 $AVP $SWHC $DVN
2015-12-10 16:10:30 UTC,Latest U.S Stock News: http://stks.co/j3afl $ETE $KO $SPWR
2015-12-10 16:18:49 UTC,Bright Stocks in Review: http://stks.co/i3aru $COP $SE $BLUE
2015-12-10 16:21:27 UTC,3 Best Stocks Under Review:  http://stks.co/j3agB $MT $GLW $ADBE
2015-12-10 16:22:28 UTC,Stock’s Volume Buzz:  http://stks.co/e2yca $WMT $ORCL $AR
2015-12-10 16:22:50 UTC,Important Movers to Watch:  http://stks.co/s3IvV $MNKD $CVX $IVZ
2015-12-10 16:25:01 UTC,Up to Date Stocks News Update:  http://stks.co/a2yPC $MU $UNP $MPW
2015-12-11 15:06:13 UTC,Important Stocks News Review: http://stks.co/f3ayv $KMI $CMCSA $NSR
2015-12-11 15:12:08 UTC,Noticeable Stocks News Review: http://stks.co/t3JxR $ABEV $BK $ERIC
2015-12-11 15:14:02 UTC,Highly Traded Stocks: http://stks.co/q3JdD $OVTI $HTZ $AMBA
2015-12-11 15:23:16 UTC,Up to Date Stocks to Track: http://stks.co/r3Jl4 $CNX $BOFI $AMD
2015-12-11 15:23:38 UTC,Trending U.S Stocks: http://stks.co/t3Jxg $SFUN $LUV $CMCSK
2015-12-11 15:24:40 UTC,Important Stocks Watch List: http://stks.co/g3alp $CHK $XRX $DE
2015-12-11 15:32:56 UTC,U.S Stocks to Track- http://stks.co/b2ypH $JPM $FB $CPE
2015-12-11 15:33:17 UTC,Bright Stocks in Review: http://stks.co/d2yjx $ETE $BHI $NAVI
2015-12-11 15:47:42 UTC,Important Stocks in Review: http://stks.co/h3b5M $HAL $CSX $EIX
2015-12-11 15:48:29 UTC,Latest U.S Stock News:  http://stks.co/t3JyT $AAPL $BABA $PDS
2015-12-11 15:51:10 UTC,Important Stocks in Focus: http://stks.co/f3b0K $WFC $AA $PWE
2015-12-11 15:51:17 UTC,Fresh U.S Stocks Under Consideration-  http://stks.co/j3b5Y $MW $SE $DYN
2015-12-11 15:57:49 UTC,Notable Stocks to Keep Your Eyes on: http://stks.co/r3Jm1 $LVS $NAV $TYC
2015-12-30 15:24:48 UTC,Oil Stocks Summary Update: $CHK $PBR $KMI $SDRL $WLL $SD $RIG $VNR $NBR $XOMA  $PWE http://stks.co/i3gez
2015-12-09 16:20:56 UTC,$DAX $EURUSD spike up. $DAX spike down. No rocket science.
2015-12-16 18:49:55 UTC,"$DAX Ok, it&#39;s time to get some pop corn and stay out of the market! :))"
2015-12-02 17:01:21 UTC,"$FB ha, FB share price now = to PE"
2015-12-22 17:41:29 UTC,$UA PE still rich at &gt;80 or 2.5x&#39;s $NKE. So growth for UA should be twice growth of Nike to justify.
2015-12-01 19:30:54 UTC,$SWKS Trying to break out here with 85.5/88.5 as targets. 92.5 top short term target
2015-12-01 20:18:27 UTC,"$KITE from 11/23, 15+ point fade"
2015-12-03 20:24:38 UTC,"$UVXY from 11/25, added @ 25/27 range."
2015-12-03 22:23:40 UTC,"$AMBA 49 support, with this action there is a likelihood we test that level tomorrow."
2015-12-03 22:24:09 UTC,"$IBB $BLUE $PBYI and several other bios failed set-ups today, what appeared to be breaking out, broke down instead!"
2015-12-04 02:32:50 UTC,@cybercash28 you have $GMCR on your list?
2015-12-04 06:36:04 UTC,"$AGIO at a critical juncture here, holds through here and we could see 70 shortly."
2015-12-07 17:48:50 UTC,$TSLA $BIDU $PCLN All looking good for higher prices here
2015-12-08 19:14:22 UTC,"$BLUE Filled the gap and 10% bounce. 70 now R on continuation, 64 stall region"
2015-12-09 05:24:31 UTC,Top plays tomorrow $BABA $WYNN $PCLN $KITE $EOG
2015-12-09 05:32:34 UTC,$WYNN
2015-12-13 04:44:37 UTC,$GILD 100 and then 95 as key support levels. Watch the 20/50 SMA cross over or bounce from here.
2015-12-13 07:42:08 UTC,$PBYI $CLVS $ICPT $AGIO The bottom fishing bio-bucket!
2015-12-21 17:33:24 UTC,$ICPT recoveries from these levels in the past have been fierce.
2015-12-02 18:05:42 UTC,$WRES At .10 I might buy 1M shares for the ultimate gamble! :)
2015-12-03 19:34:28 UTC,"$FIT $GPRO Oh snap! :P - Fitbit &amp; GoPro: A Happy Christmas for One, But Not the Other http://stks.co/a2wCd"
2015-12-18 19:32:36 UTC,$HOTR 70 cents and I&#39;ll start buying back in again. Rode this from $1 to $1.36 last time!
2015-12-21 14:41:46 UTC,"$FIT Oops, sorry! ;)"
2015-12-02 21:11:15 UTC,$ARO I adjust my position
2015-12-10 11:57:36 UTC,$ARO watch it in January
2015-12-02 15:50:42 UTC,"$WYNN looks like to bottom is in for 2015, now sights are set for a rentry into triple digits"
2015-12-12 13:46:32 UTC,Junk in The Trunk http://stks.co/i3bY5 $HYG
2015-12-28 17:15:26 UTC,Nasdaq Futures - What happens next?  Up?  Down? All Around? #NQ $QQQ
2015-12-18 17:15:33 UTC,"$GBSN I&#39;m out of this, and I&#39;m in on $NETE, $HK, and $DRWI. All green today, waiting for a nice pop somewhere now"
2015-12-01 17:30:33 UTC,$ATV good time to lock in profits if you gotten in early at the 5s and 6s
2015-12-04 17:41:56 UTC,$ZFGN in.
2015-12-07 20:37:59 UTC,"$ARWR out, gl everyone."
2015-12-10 15:40:05 UTC,"$APDN go up nice and slow, dont listen to anyone."
2015-12-10 17:47:49 UTC,$TXMD Keep going up nice and slow.
2015-12-11 13:37:19 UTC,Premarket Gainer: $HMY 27% $FNSR 15% $TVIX 12% $UVXY 11% $PBMD 10% $BTU 7% $SUNE 7% $HOV 6% $GLW 5% $EDZ 5% $DUST 5% $VXX 5%
2015-12-14 16:20:00 UTC,$NRX in again at 2.40
2015-12-16 13:36:31 UTC,Premarket Gainer: $JRJC 45% $ARRY 20% $YZC 14% $SUNE 12% $RUN 11% $SCY 10% $GBSN 10% $WFT 13% $CLSN 7% $PLUG 7% $TERP 7%
2015-12-23 14:37:20 UTC,$ADMS hmmmmm what will happen.
2015-12-24 16:11:25 UTC,"$AMD i remember this when it was at 1.90s, =)"
2015-12-29 15:50:37 UTC,"$INVT tempted to get in again, but waiting for that big drop."
2015-12-30 13:45:42 UTC,Premarket Gainer: $OHGI 22% $HART 20% $NADL 20% $DGAZ 10% $DWTI 8% $ATNM 6% $SCO 5% $SUNE 5%
2015-12-30 15:12:47 UTC,$OHGI hmmmmmm
2015-12-30 16:50:09 UTC,$CDZI popping up
2015-12-31 13:38:08 UTC,$PSTI hmmmmmm
2015-12-31 16:33:01 UTC,$LEI up and up it goes.
2015-12-31 16:58:57 UTC,"$LEI such a nice day, email for free trail."
2015-12-28 19:33:42 UTC,$SFXE the suspense is killing me
2015-12-29 19:32:36 UTC,$SFXE wow this is terrible I&#39;m regretting this purchase (sigh) I just want it to get back where I bought it so I can unload this crap.
2015-12-08 17:10:16 UTC,$VLTC whenever there is spike its shorted
2015-12-14 02:08:19 UTC,@djmoflo $UVXY vix futures are down -2.62%
2015-12-31 21:26:37 UTC,"$UVXY Will, at a minimum, see the gap fill at 30.64 on Monday."
2015-12-07 16:03:35 UTC,$TNA time to go L
2015-12-01 02:00:52 UTC,$FREE what makes this width while when all my research points the other way?
2015-12-02 22:26:05 UTC,$VUZI The glasses look nifty but I don&#39;t trust a stock recommended by Harry Boxer.
2015-12-07 17:07:27 UTC,$BIOC Many of the stocks I observe are down today. It almost looks like BIOC moves with oil.
2015-12-07 20:50:13 UTC,"$BIOC This forum becomes ridiculous with all kind of speculations about dilutions, continuous bleeding. Look at energy stocks 5% down."
2015-12-09 00:21:37 UTC,$BIOC I believe Mr Nall should vacate the CEO position.
2015-12-13 02:34:14 UTC,$RBY 64% short volume yesterday 12/11.
2015-12-21 18:21:10 UTC,$WGBS Holding the bag since 0.943. I broke one of my trading rules when I entered this. Good company but it&#39;s got lots of love from shorts.
2015-12-04 14:45:52 UTC,$GASL i remember when this was 12.00 those were good times.
2015-12-02 15:11:19 UTC,"$AMDA shorties,mms (imagined) the Nasdaq. Maybe it&#39;s as simple as the companies execution or lack there of  that brought us here"
2015-12-03 15:03:58 UTC,$AMDA the sentiment ticked back up to 93% on the watching amda on the right. worries me that i&#39;m one of um
2015-12-04 22:19:01 UTC,$AMDA so everything else i own closed green. this sux
2015-12-18 10:57:14 UTC,"$OCAT offer extended..
http://stks.co/i3dtx"
2015-12-22 22:17:48 UTC,$ATNM I&#39;m watching for the megalodon.  Ahoy.
2015-12-24 08:02:44 UTC,$ATNM Actinium mention.  http://stks.co/e331N
2015-12-31 11:41:06 UTC,$ATNM Shame we can&#39;t get some ex-iCellers.  Without OCAT that site is dead..even Jason (Feeeed) level set expectations for 2016 recently.
2015-12-31 18:54:14 UTC,$ATNM 3 near term catalysts and a bell ringing.
2015-12-21 16:03:58 UTC,$AAPL  $AMZN  $Goog  $AAPL
2015-12-08 18:12:15 UTC,$VRNG is there additional money that VRNG has put up for injunctions that will be returned ??
2015-12-16 14:20:19 UTC,$WYY Bulkowski...you hunting for a job ??
2015-12-18 19:24:26 UTC,$VRNG oh you are such a joyful person
2015-12-23 18:34:07 UTC,$VRNG If everyone has taken their tax losses then maybe we can get some traction
2015-12-05 16:06:43 UTC,$NQ il
2015-12-04 12:55:29 UTC,$SKX wondering if the action on skx thursday had anything to do with options xpire ?
2015-12-11 14:43:05 UTC,$SKX november retail sales up...good
2015-12-22 14:34:21 UTC,$EYES volume my be an issue again today...
2015-12-15 19:01:58 UTC,$FRO nice to see $3 again
2015-12-10 20:27:01 UTC,$FIT Continued low volume currently 2.94mm (Daily Avg. 5.3mm)
2015-12-15 14:49:11 UTC,$FIT Not happening until after Feb ER.  Read the fine print in the filing
2015-12-02 02:59:52 UTC,$NSPH http://stks.co/s3Fxu
2015-12-03 19:46:49 UTC,$ENZN too late to get in?
2015-12-01 01:44:38 UTC,$SWKS $wall watch has got to be one of the top gifts this year (i even could not resist buying some for friends)!
2015-12-03 17:55:40 UTC,$SWKS double bottom on the 5 min chart
2015-12-07 16:54:48 UTC,$SWKS reinstated positions
2015-12-10 03:57:48 UTC,$SWKS 2 bullish patterns i see - cup &amp; h formation and bullish bat chart http://stks.co/d2yCA via http://stks.co/e2yQk
2015-12-22 01:07:47 UTC,$SWKS $12.38M inflow!
2015-12-22 16:23:46 UTC,$SWKS the good news is this is coiling and formed a strong support base - http://stks.co/i3ewp via http://stks.co/i3ewq
2015-12-23 22:30:13 UTC,$SWKS looking good
2015-12-25 13:00:07 UTC,$VGGL Merry Christmas!!
2015-12-17 16:53:58 UTC,$GOOGL op
2015-12-08 14:46:31 UTC,$ARNA buyout................zzzzzzzzzzzzzzzz
2015-12-22 14:53:55 UTC,$JAKK Every year one star wars?
2015-12-01 20:36:08 UTC,$ASTI  $AAPL  $TSLA  $ASTI There&#39;s no official talk of buyout. It seems like some people just want to start rumors. Doesn&#39;t help anyone.
2015-12-24 14:31:21 UTC,"$AYA.CA merry fuken christmas, just can&#39;t catch a break"
2015-12-11 14:28:54 UTC,$FIT
2015-12-03 20:09:53 UTC,$ETP Will electric cars affect the oil market in the coming years?
2015-12-30 19:11:46 UTC,"$AVXL So sell, short that bid @ 5.40 mouth. 28k"
2015-12-09 19:18:44 UTC,$AEZS Are you talking $0.11?  That&#39;s the only 11 we will see!
2015-12-18 12:24:12 UTC,$AMBA http://stks.co/b31Ll
2015-12-03 18:41:29 UTC,$HPJ hit $6 will give you a good farewell party
